task,task_config,block,seed,mode,block_offset,scene_index,scene_offset
bottle_verb,demo_clean,17,100053,shake,1,50026,1
bottle_verb,demo_clean,18,100054,pick,0,50027,0
bottle_verb,demo_clean,18,100055,shake,1,50027,1
bottle_verb,demo_clean,19,100056,pick,0,50028,0
bottle_verb,demo_clean,19,100057,shake,1,50028,1
pick_diverse_object,demo_clean,0,100002,seen,0,100002,0
pick_diverse_object,demo_clean,0,100003,unseen,1,100003,0
pick_diverse_object,demo_clean,1,100004,seen,0,100004,0
pick_diverse_object,demo_clean,1,100005,unseen,1,100005,0
pick_diverse_object,demo_clean,2,100006,seen,0,100006,0
pick_diverse_object,demo_clean,2,100007,unseen,1,100007,0
pick_diverse_object,demo_clean,3,100008,seen,0,100008,0
pick_diverse_object,demo_clean,3,100009,unseen,1,100009,0
pick_diverse_object,demo_clean,4,100012,seen,0,100012,0
pick_diverse_object,demo_clean,4,100013,unseen,1,100013,0
pick_diverse_object,demo_clean,5,100014,seen,0,100014,0
pick_diverse_object,demo_clean,5,100015,unseen,1,100015,0
pick_diverse_object,demo_clean,6,100018,seen,0,100018,0
pick_diverse_object,demo_clean,6,100019,unseen,1,100019,0
pick_diverse_object,demo_clean,7,100020,seen,0,100020,0
pick_diverse_object,demo_clean,7,100021,unseen,1,100021,0
pick_diverse_object,demo_clean,8,100024,seen,0,100024,0
pick_diverse_object,demo_clean,8,100025,unseen,1,100025,0
pick_diverse_object,demo_clean,9,100034,seen,0,100034,0
pick_diverse_object,demo_clean,9,100035,unseen,1,100035,0
pick_diverse_object,demo_clean,10,100036,seen,0,100036,0
pick_diverse_object,demo_clean,10,100037,unseen,1,100037,0
pick_diverse_object,demo_clean,11,100038,seen,0,100038,0
pick_diverse_object,demo_clean,11,100039,unseen,1,100039,0
pick_diverse_object,demo_clean,12,100040,seen,0,100040,0
pick_diverse_object,demo_clean,12,100041,unseen,1,100041,0
pick_diverse_object,demo_clean,13,100042,seen,0,100042,0
pick_diverse_object,demo_clean,13,100043,unseen,1,100043,0
pick_diverse_object,demo_clean,14,100048,seen,0,100048,0
pick_diverse_object,demo_clean,14,100049,unseen,1,100049,0
pick_diverse_object,demo_clean,15,100052,seen,0,100052,0
pick_diverse_object,demo_clean,15,100053,unseen,1,100053,0
pick_diverse_object,demo_clean,16,100054,seen,0,100054,0
pick_diverse_object,demo_clean,16,100055,unseen,1,100055,0
pick_diverse_object,demo_clean,17,100056,seen,0,100056,0
pick_diverse_object,demo_clean,17,100057,unseen,1,100057,0
pick_diverse_object,demo_clean,18,100060,seen,0,100060,0
pick_diverse_object,demo_clean,18,100061,unseen,1,100061,0
pick_diverse_object,demo_clean,19,100066,seen,0,100066,0
pick_diverse_object,demo_clean,19,100067,unseen,1,100067,0
attribute_select,demo_clean,0,100000,color:red,0,50000,0
attribute_select,demo_clean,0,100001,color:blue,1,50000,1
attribute_select,demo_clean,0,100002,decal:cat,2,50001,0
attribute_select,demo_clean,0,100003,decal:dog,3,50001,1
attribute_select,demo_clean,0,100004,shape:block,4,50002,0
attribute_select,demo_clean,0,100005,shape:bar,5,50002,1
attribute_select,demo_clean,0,100006,size:big,6,50003,0
attribute_select,demo_clean,0,100007,size:small,7,50003,1
attribute_select,demo_clean,1,100008,color:red,0,50004,0
attribute_select,demo_clean,1,100009,color:blue,1,50004,1
attribute_select,demo_clean,1,100010,decal:cat,2,50005,0
attribute_select,demo_clean,1,100011,decal:dog,3,50005,1
attribute_select,demo_clean,1,100012,shape:block,4,50006,0
attribute_select,demo_clean,1,100013,shape:bar,5,50006,1
attribute_select,demo_clean,1,100014,size:big,6,50007,0
attribute_select,demo_clean,1,100015,size:small,7,50007,1
attribute_select,demo_clean,2,100016,color:red,0,50008,0
attribute_select,demo_clean,2,100017,color:blue,1,50008,1
attribute_select,demo_clean,2,100018,decal:cat,2,50009,0
attribute_select,demo_clean,2,100019,decal:dog,3,50009,1
attribute_select,demo_clean,2,100020,shape:block,4,50010,0
attribute_select,demo_clean,2,100021,shape:bar,5,50010,1
attribute_select,demo_clean,2,100022,size:big,6,50011,0
attribute_select,demo_clean,2,100023,size:small,7,50011,1
attribute_select,demo_clean,3,100024,color:red,0,50012,0
attribute_select,demo_clean,3,100025,color:blue,1,50012,1
attribute_select,demo_clean,3,100026,decal:cat,2,50013,0
attribute_select,demo_clean,3,100027,decal:dog,3,50013,1
attribute_select,demo_clean,3,100028,shape:block,4,50014,0
attribute_select,demo_clean,3,100029,shape:bar,5,50014,1
attribute_select,demo_clean,3,100030,size:big,6,50015,0
attribute_select,demo_clean,3,100031,size:small,7,50015,1
attribute_select,demo_clean,4,100032,color:red,0,50016,0
attribute_select,demo_clean,4,100033,color:blue,1,50016,1
attribute_select,demo_clean,4,100034,decal:cat,2,50017,0
attribute_select,demo_clean,4,100035,decal:dog,3,50017,1
attribute_select,demo_clean,4,100036,shape:block,4,50018,0
attribute_select,demo_clean,4,100037,shape:bar,5,50018,1
attribute_select,demo_clean,4,100038,size:big,6,50019,0
attribute_select,demo_clean,4,100039,size:small,7,50019,1
attribute_select,demo_clean,5,100040,color:red,0,50020,0
attribute_select,demo_clean,5,100041,color:blue,1,50020,1
attribute_select,demo_clean,5,100042,decal:cat,2,50021,0
attribute_select,demo_clean,5,100043,decal:dog,3,50021,1
attribute_select,demo_clean,5,100044,shape:block,4,50022,0
attribute_select,demo_clean,5,100045,shape:bar,5,50022,1
attribute_select,demo_clean,5,100046,size:big,6,50023,0
attribute_select,demo_clean,5,100047,size:small,7,50023,1
attribute_select,demo_clean,6,100048,color:red,0,50024,0
attribute_select,demo_clean,6,100049,color:blue,1,50024,1
attribute_select,demo_clean,6,100050,decal:cat,2,50025,0
attribute_select,demo_clean,6,100051,decal:dog,3,50025,1
attribute_select,demo_clean,6,100052,shape:block,4,50026,0
attribute_select,demo_clean,6,100053,shape:bar,5,50026,1
attribute_select,demo_clean,6,100054,size:big,6,50027,0
attribute_select,demo_clean,6,100055,size:small,7,50027,1
attribute_select,demo_clean,7,100064,color:red,0,50032,0
attribute_select,demo_clean,7,100065,color:blue,1,50032,1
attribute_select,demo_clean,7,100066,decal:cat,2,50033,0
attribute_select,demo_clean,7,100067,decal:dog,3,50033,1
attribute_select,demo_clean,7,100068,shape:block,4,50034,0
attribute_select,demo_clean,7,100069,shape:bar,5,50034,1
attribute_select,demo_clean,7,100070,size:big,6,50035,0
attribute_select,demo_clean,7,100071,size:small,7,50035,1
attribute_select,demo_clean,8,100072,color:red,0,50036,0
attribute_select,demo_clean,8,100073,color:blue,1,50036,1
attribute_select,demo_clean,8,100074,decal:cat,2,50037,0
attribute_select,demo_clean,8,100075,decal:dog,3,50037,1
attribute_select,demo_clean,8,100076,shape:block,4,50038,0
attribute_select,demo_clean,8,100077,shape:bar,5,50038,1
attribute_select,demo_clean,8,100078,size:big,6,50039,0
attribute_select,demo_clean,8,100079,size:small,7,50039,1
attribute_select,demo_clean,9,100080,color:red,0,50040,0
attribute_select,demo_clean,9,100081,color:blue,1,50040,1
attribute_select,demo_clean,9,100082,decal:cat,2,50041,0
attribute_select,demo_clean,9,100083,decal:dog,3,50041,1
attribute_select,demo_clean,9,100084,shape:block,4,50042,0
attribute_select,demo_clean,9,100085,shape:bar,5,50042,1
attribute_select,demo_clean,9,100086,size:big,6,50043,0
attribute_select,demo_clean,9,100087,size:small,7,50043,1
attribute_select,demo_clean,10,100088,color:red,0,50044,0
attribute_select,demo_clean,10,100089,color:blue,1,50044,1
attribute_select,demo_clean,10,100090,decal:cat,2,50045,0
attribute_select,demo_clean,10,100091,decal:dog,3,50045,1
attribute_select,demo_clean,10,100092,shape:block,4,50046,0
attribute_select,demo_clean,10,100093,shape:bar,5,50046,1
attribute_select,demo_clean,10,100094,size:big,6,50047,0
attribute_select,demo_clean,10,100095,size:small,7,50047,1
attribute_select,demo_clean,11,100096,color:red,0,50048,0
attribute_select,demo_clean,11,100097,color:blue,1,50048,1
attribute_select,demo_clean,11,100098,decal:cat,2,50049,0
attribute_select,demo_clean,11,100099,decal:dog,3,50049,1
attribute_select,demo_clean,11,100100,shape:block,4,50050,0
attribute_select,demo_clean,11,100101,shape:bar,5,50050,1
attribute_select,demo_clean,11,100102,size:big,6,50051,0
attribute_select,demo_clean,11,100103,size:small,7,50051,1
attribute_select,demo_clean,12,100104,color:red,0,50052,0
attribute_select,demo_clean,12,100105,color:blue,1,50052,1
attribute_select,demo_clean,12,100106,decal:cat,2,50053,0
attribute_select,demo_clean,12,100107,decal:dog,3,50053,1
attribute_select,demo_clean,12,100108,shape:block,4,50054,0
attribute_select,demo_clean,12,100109,shape:bar,5,50054,1
attribute_select,demo_clean,12,100110,size:big,6,50055,0
attribute_select,demo_clean,12,100111,size:small,7,50055,1
attribute_select,demo_clean,13,100112,color:red,0,50056,0
attribute_select,demo_clean,13,100113,color:blue,1,50056,1
attribute_select,demo_clean,13,100114,decal:cat,2,50057,0
attribute_select,demo_clean,13,100115,decal:dog,3,50057,1
attribute_select,demo_clean,13,100116,shape:block,4,50058,0
attribute_select,demo_clean,13,100117,shape:bar,5,50058,1
attribute_select,demo_clean,13,100118,size:big,6,50059,0
attribute_select,demo_clean,13,100119,size:small,7,50059,1
attribute_select,demo_clean,14,100120,color:red,0,50060,0
attribute_select,demo_clean,14,100121,color:blue,1,50060,1
attribute_select,demo_clean,14,100122,decal:cat,2,50061,0
attribute_select,demo_clean,14,100123,decal:dog,3,50061,1
attribute_select,demo_clean,14,100124,shape:block,4,50062,0
attribute_select,demo_clean,14,100125,shape:bar,5,50062,1
attribute_select,demo_clean,14,100126,size:big,6,50063,0
attribute_select,demo_clean,14,100127,size:small,7,50063,1
attribute_select,demo_clean,15,100128,color:red,0,50064,0
attribute_select,demo_clean,15,100129,color:blue,1,50064,1
attribute_select,demo_clean,15,100130,decal:cat,2,50065,0
attribute_select,demo_clean,15,100131,decal:dog,3,50065,1
attribute_select,demo_clean,15,100132,shape:block,4,50066,0
attribute_select,demo_clean,15,100133,shape:bar,5,50066,1
attribute_select,demo_clean,15,100134,size:big,6,50067,0
attribute_select,demo_clean,15,100135,size:small,7,50067,1
attribute_select,demo_clean,16,100144,color:red,0,50072,0
attribute_select,demo_clean,16,100145,color:blue,1,50072,1
attribute_select,demo_clean,16,100146,decal:cat,2,50073,0
attribute_select,demo_clean,16,100147,decal:dog,3,50073,1
attribute_select,demo_clean,16,100148,shape:block,4,50074,0
attribute_select,demo_clean,16,100149,shape:bar,5,50074,1
attribute_select,demo_clean,16,100150,size:big,6,50075,0
attribute_select,demo_clean,16,100151,size:small,7,50075,1
attribute_select,demo_clean,17,100152,color:red,0,50076,0
attribute_select,demo_clean,17,100153,color:blue,1,50076,1
attribute_select,demo_clean,17,100154,decal:cat,2,50077,0
attribute_select,demo_clean,17,100155,decal:dog,3,50077,1
attribute_select,demo_clean,17,100156,shape:block,4,50078,0
attribute_select,demo_clean,17,100157,shape:bar,5,50078,1
attribute_select,demo_clean,17,100158,size:big,6,50079,0
attribute_select,demo_clean,17,100159,size:small,7,50079,1
attribute_select,demo_clean,18,100160,color:red,0,50080,0
attribute_select,demo_clean,18,100161,color:blue,1,50080,1
attribute_select,demo_clean,18,100162,decal:cat,2,50081,0
attribute_select,demo_clean,18,100163,decal:dog,3,50081,1
attribute_select,demo_clean,18,100164,shape:block,4,50082,0
attribute_select,demo_clean,18,100165,shape:bar,5,50082,1
attribute_select,demo_clean,18,100166,size:big,6,50083,0
attribute_select,demo_clean,18,100167,size:small,7,50083,1
attribute_select,demo_clean,19,100168,color:red,0,50084,0
attribute_select,demo_clean,19,100169,color:blue,1,50084,1
attribute_select,demo_clean,19,100170,decal:cat,2,50085,0
attribute_select,demo_clean,19,100171,decal:dog,3,50085,1
attribute_select,demo_clean,19,100172,shape:block,4,50086,0
attribute_select,demo_clean,19,100173,shape:bar,5,50086,1
attribute_select,demo_clean,19,100174,size:big,6,50087,0
attribute_select,demo_clean,19,100175,size:small,7,50087,1
arm_select,demo_clean_arm_select_v3,0,500000,left,0,250000,0
arm_select,demo_clean_arm_select_v3,0,500001,right,1,250000,1
arm_select,demo_clean_arm_select_v3,1,500002,left,0,250001,0
arm_select,demo_clean_arm_select_v3,1,500003,right,1,250001,1
arm_select,demo_clean_arm_select_v3,2,500004,left,0,250002,0
arm_select,demo_clean_arm_select_v3,2,500005,right,1,250002,1
arm_select,demo_clean_arm_select_v3,3,500006,left,0,250003,0
arm_select,demo_clean_arm_select_v3,3,500007,right,1,250003,1
arm_select,demo_clean_arm_select_v3,4,500008,left,0,250004,0
arm_select,demo_clean_arm_select_v3,4,500009,right,1,250004,1
arm_select,demo_clean_arm_select_v3,5,500010,left,0,250005,0
arm_select,demo_clean_arm_select_v3,5,500011,right,1,250005,1
arm_select,demo_clean_arm_select_v3,6,500012,left,0,250006,0
arm_select,demo_clean_arm_select_v3,6,500013,right,1,250006,1
arm_select,demo_clean_arm_select_v3,7,500014,left,0,250007,0
arm_select,demo_clean_arm_select_v3,7,500015,right,1,250007,1
arm_select,demo_clean_arm_select_v3,8,500016,left,0,250008,0
arm_select,demo_clean_arm_select_v3,8,500017,right,1,250008,1
arm_select,demo_clean_arm_select_v3,9,500018,left,0,250009,0
arm_select,demo_clean_arm_select_v3,9,500019,right,1,250009,1
arm_select,demo_clean_arm_select_v3,10,500020,left,0,250010,0
arm_select,demo_clean_arm_select_v3,10,500021,right,1,250010,1
arm_select,demo_clean_arm_select_v3,11,500022,left,0,250011,0
arm_select,demo_clean_arm_select_v3,11,500023,right,1,250011,1
arm_select,demo_clean_arm_select_v3,12,500024,left,0,250012,0
arm_select,demo_clean_arm_select_v3,12,500025,right,1,250012,1
arm_select,demo_clean_arm_select_v3,13,500026,left,0,250013,0
arm_select,demo_clean_arm_select_v3,13,500027,right,1,250013,1
arm_select,demo_clean_arm_select_v3,14,500028,left,0,250014,0
arm_select,demo_clean_arm_select_v3,14,500029,right,1,250014,1
arm_select,demo_clean_arm_select_v3,15,500030,left,0,250015,0
arm_select,demo_clean_arm_select_v3,15,500031,right,1,250015,1
arm_select,demo_clean_arm_select_v3,16,500032,left,0,250016,0
arm_select,demo_clean_arm_select_v3,16,500033,right,1,250016,1
arm_select,demo_clean_arm_select_v3,17,500034,left,0,250017,0
arm_select,demo_clean_arm_select_v3,17,500035,right,1,250017,1
arm_select,demo_clean_arm_select_v3,18,500036,left,0,250018,0
arm_select,demo_clean_arm_select_v3,18,500037,right,1,250018,1
arm_select,demo_clean_arm_select_v3,19,500038,left,0,250019,0
arm_select,demo_clean_arm_select_v3,19,500039,right,1,250019,1
stack_sequence,demo_clean,0,100008,red>green>blue,0,16668,0
stack_sequence,demo_clean,0,100009,red>blue>green,1,16668,1
stack_sequence,demo_clean,0,100010,green>red>blue,2,16668,2
stack_sequence,demo_clean,0,100011,green>blue>red,3,16668,3
stack_sequence,demo_clean,0,100012,blue>red>green,4,16668,4
stack_sequence,demo_clean,0,100013,blue>green>red,5,16668,5
stack_sequence,demo_clean,1,100014,red>green>blue,0,16669,0
stack_sequence,demo_clean,1,100015,red>blue>green,1,16669,1
stack_sequence,demo_clean,1,100016,green>red>blue,2,16669,2
stack_sequence,demo_clean,1,100017,green>blue>red,3,16669,3
stack_sequence,demo_clean,1,100018,blue>red>green,4,16669,4
stack_sequence,demo_clean,1,100019,blue>green>red,5,16669,5
stack_sequence,demo_clean,2,100020,red>green>blue,0,16670,0
stack_sequence,demo_clean,2,100021,red>blue>green,1,16670,1
stack_sequence,demo_clean,2,100022,green>red>blue,2,16670,2
stack_sequence,demo_clean,2,100023,green>blue>red,3,16670,3
stack_sequence,demo_clean,2,100024,blue>red>green,4,16670,4
stack_sequence,demo_clean,2,100025,blue>green>red,5,16670,5
stack_sequence,demo_clean,3,100026,red>green>blue,0,16671,0
stack_sequence,demo_clean,3,100027,red>blue>green,1,16671,1
stack_sequence,demo_clean,3,100028,green>red>blue,2,16671,2
stack_sequence,demo_clean,3,100029,green>blue>red,3,16671,3
stack_sequence,demo_clean,3,100030,blue>red>green,4,16671,4
stack_sequence,demo_clean,3,100031,blue>green>red,5,16671,5
stack_sequence,demo_clean,4,100032,red>green>blue,0,16672,0
stack_sequence,demo_clean,4,100033,red>blue>green,1,16672,1
stack_sequence,demo_clean,4,100034,green>red>blue,2,16672,2
stack_sequence,demo_clean,4,100035,green>blue>red,3,16672,3
stack_sequence,demo_clean,4,100036,blue>red>green,4,16672,4
stack_sequence,demo_clean,4,100037,blue>green>red,5,16672,5
stack_sequence,demo_clean,5,100038,red>green>blue,0,16673,0
stack_sequence,demo_clean,5,100039,red>blue>green,1,16673,1
stack_sequence,demo_clean,5,100040,green>red>blue,2,16673,2
stack_sequence,demo_clean,5,100041,green>blue>red,3,16673,3
stack_sequence,demo_clean,5,100042,blue>red>green,4,16673,4
stack_sequence,demo_clean,5,100043,blue>green>red,5,16673,5
stack_sequence,demo_clean,6,100050,red>green>blue,0,16675,0
stack_sequence,demo_clean,6,100051,red>blue>green,1,16675,1
stack_sequence,demo_clean,6,100052,green>red>blue,2,16675,2
stack_sequence,demo_clean,6,100053,green>blue>red,3,16675,3
stack_sequence,demo_clean,6,100054,blue>red>green,4,16675,4
stack_sequence,demo_clean,6,100055,blue>green>red,5,16675,5
stack_sequence,demo_clean,7,100062,red>green>blue,0,16677,0
stack_sequence,demo_clean,7,100063,red>blue>green,1,16677,1
stack_sequence,demo_clean,7,100064,green>red>blue,2,16677,2
stack_sequence,demo_clean,7,100065,green>blue>red,3,16677,3
stack_sequence,demo_clean,7,100066,blue>red>green,4,16677,4
stack_sequence,demo_clean,7,100067,blue>green>red,5,16677,5
stack_sequence,demo_clean,8,100068,red>green>blue,0,16678,0
stack_sequence,demo_clean,8,100069,red>blue>green,1,16678,1
stack_sequence,demo_clean,8,100070,green>red>blue,2,16678,2
stack_sequence,demo_clean,8,100071,green>blue>red,3,16678,3
stack_sequence,demo_clean,8,100072,blue>red>green,4,16678,4
stack_sequence,demo_clean,8,100073,blue>green>red,5,16678,5
stack_sequence,demo_clean,9,100080,red>green>blue,0,16680,0
stack_sequence,demo_clean,9,100081,red>blue>green,1,16680,1
stack_sequence,demo_clean,9,100082,green>red>blue,2,16680,2
stack_sequence,demo_clean,9,100083,green>blue>red,3,16680,3
stack_sequence,demo_clean,9,100084,blue>red>green,4,16680,4
stack_sequence,demo_clean,9,100085,blue>green>red,5,16680,5
stack_sequence,demo_clean,10,100092,red>green>blue,0,16682,0
stack_sequence,demo_clean,10,100093,red>blue>green,1,16682,1
stack_sequence,demo_clean,10,100094,green>red>blue,2,16682,2
stack_sequence,demo_clean,10,100095,green>blue>red,3,16682,3
stack_sequence,demo_clean,10,100096,blue>red>green,4,16682,4
stack_sequence,demo_clean,10,100097,blue>green>red,5,16682,5
stack_sequence,demo_clean,11,100098,red>green>blue,0,16683,0
stack_sequence,demo_clean,11,100099,red>blue>green,1,16683,1
stack_sequence,demo_clean,11,100100,green>red>blue,2,16683,2
stack_sequence,demo_clean,11,100101,green>blue>red,3,16683,3
stack_sequence,demo_clean,11,100102,blue>red>green,4,16683,4
stack_sequence,demo_clean,11,100103,blue>green>red,5,16683,5
stack_sequence,demo_clean,12,100104,red>green>blue,0,16684,0
stack_sequence,demo_clean,12,100105,red>blue>green,1,16684,1
stack_sequence,demo_clean,12,100106,green>red>blue,2,16684,2
stack_sequence,demo_clean,12,100107,green>blue>red,3,16684,3
stack_sequence,demo_clean,12,100108,blue>red>green,4,16684,4
stack_sequence,demo_clean,12,100109,blue>green>red,5,16684,5
stack_sequence,demo_clean,13,100110,red>green>blue,0,16685,0
stack_sequence,demo_clean,13,100111,red>blue>green,1,16685,1
stack_sequence,demo_clean,13,100112,green>red>blue,2,16685,2
stack_sequence,demo_clean,13,100113,green>blue>red,3,16685,3
stack_sequence,demo_clean,13,100114,blue>red>green,4,16685,4
stack_sequence,demo_clean,13,100115,blue>green>red,5,16685,5
stack_sequence,demo_clean,14,100116,red>green>blue,0,16686,0
stack_sequence,demo_clean,14,100117,red>blue>green,1,16686,1
stack_sequence,demo_clean,14,100118,green>red>blue,2,16686,2
stack_sequence,demo_clean,14,100119,green>blue>red,3,16686,3
stack_sequence,demo_clean,14,100120,blue>red>green,4,16686,4
stack_sequence,demo_clean,14,100121,blue>green>red,5,16686,5
stack_sequence,demo_clean,15,100140,red>green>blue,0,16690,0
stack_sequence,demo_clean,15,100141,red>blue>green,1,16690,1
stack_sequence,demo_clean,15,100142,green>red>blue,2,16690,2
stack_sequence,demo_clean,15,100143,green>blue>red,3,16690,3
stack_sequence,demo_clean,15,100144,blue>red>green,4,16690,4
stack_sequence,demo_clean,15,100145,blue>green>red,5,16690,5
stack_sequence,demo_clean,16,100146,red>green>blue,0,16691,0
stack_sequence,demo_clean,16,100147,red>blue>green,1,16691,1
stack_sequence,demo_clean,16,100148,green>red>blue,2,16691,2
stack_sequence,demo_clean,16,100149,green>blue>red,3,16691,3
stack_sequence,demo_clean,16,100150,blue>red>green,4,16691,4
stack_sequence,demo_clean,16,100151,blue>green>red,5,16691,5
stack_sequence,demo_clean,17,100152,red>green>blue,0,16692,0
stack_sequence,demo_clean,17,100153,red>blue>green,1,16692,1
stack_sequence,demo_clean,17,100154,green>red>blue,2,16692,2
stack_sequence,demo_clean,17,100155,green>blue>red,3,16692,3
stack_sequence,demo_clean,17,100156,blue>red>green,4,16692,4
stack_sequence,demo_clean,17,100157,blue>green>red,5,16692,5
stack_sequence,demo_clean,18,100158,red>green>blue,0,16693,0
stack_sequence,demo_clean,18,100159,red>blue>green,1,16693,1
stack_sequence,demo_clean,18,100160,green>red>blue,2,16693,2
stack_sequence,demo_clean,18,100161,green>blue>red,3,16693,3
stack_sequence,demo_clean,18,100162,blue>red>green,4,16693,4
stack_sequence,demo_clean,18,100163,blue>green>red,5,16693,5
stack_sequence,demo_clean,19,100170,red>green>blue,0,16695,0
stack_sequence,demo_clean,19,100171,red>blue>green,1,16695,1
stack_sequence,demo_clean,19,100172,green>red>blue,2,16695,2
stack_sequence,demo_clean,19,100173,green>blue>red,3,16695,3
stack_sequence,demo_clean,19,100174,blue>red>green,4,16695,4
stack_sequence,demo_clean,19,100175,blue>green>red,5,16695,5
place_relative,demo_clean,0,100005,left,0,20001,0
place_relative,demo_clean,0,100006,right,1,20001,1
place_relative,demo_clean,0,100009,on_top,4,20001,4
place_relative,demo_clean,1,100010,left,0,20002,0
place_relative,demo_clean,1,100011,right,1,20002,1
place_relative,demo_clean,1,100014,on_top,4,20002,4
place_relative,demo_clean,2,100015,left,0,20003,0
place_relative,demo_clean,2,100016,right,1,20003,1
place_relative,demo_clean,2,100019,on_top,4,20003,4
place_relative,demo_clean,3,100020,left,0,20004,0
place_relative,demo_clean,3,100021,right,1,20004,1
place_relative,demo_clean,3,100024,on_top,4,20004,4
place_relative,demo_clean,4,100025,left,0,20005,0
place_relative,demo_clean,4,100026,right,1,20005,1
place_relative,demo_clean,4,100029,on_top,4,20005,4
place_relative,demo_clean,5,100030,left,0,20006,0
place_relative,demo_clean,5,100031,right,1,20006,1
place_relative,demo_clean,5,100034,on_top,4,20006,4
place_relative,demo_clean,6,100040,left,0,20008,0
place_relative,demo_clean,6,100041,right,1,20008,1
place_relative,demo_clean,6,100044,on_top,4,20008,4
place_relative,demo_clean,7,100045,left,0,20009,0
place_relative,demo_clean,7,100046,right,1,20009,1
place_relative,demo_clean,7,100049,on_top,4,20009,4
place_relative,demo_clean,8,100050,left,0,20010,0
place_relative,demo_clean,8,100051,right,1,20010,1
place_relative,demo_clean,8,100054,on_top,4,20010,4
place_relative,demo_clean,9,100055,left,0,20011,0
place_relative,demo_clean,9,100056,right,1,20011,1
place_relative,demo_clean,9,100059,on_top,4,20011,4
place_relative,demo_clean,10,100060,left,0,20012,0
place_relative,demo_clean,10,100061,right,1,20012,1
place_relative,demo_clean,10,100064,on_top,4,20012,4
place_relative,demo_clean,11,100065,left,0,20013,0
place_relative,demo_clean,11,100066,right,1,20013,1
place_relative,demo_clean,11,100069,on_top,4,20013,4
place_relative,demo_clean,12,100070,left,0,20014,0
place_relative,demo_clean,12,100071,right,1,20014,1
place_relative,demo_clean,12,100074,on_top,4,20014,4
place_relative,demo_clean,13,100075,left,0,20015,0
place_relative,demo_clean,13,100076,right,1,20015,1
place_relative,demo_clean,13,100079,on_top,4,20015,4
place_relative,demo_clean,14,100080,left,0,20016,0
place_relative,demo_clean,14,100081,right,1,20016,1
place_relative,demo_clean,14,100084,on_top,4,20016,4
place_relative,demo_clean,15,100085,left,0,20017,0
place_relative,demo_clean,15,100086,right,1,20017,1
place_relative,demo_clean,15,100089,on_top,4,20017,4
place_relative,demo_clean,16,100095,left,0,20019,0
place_relative,demo_clean,16,100096,right,1,20019,1
place_relative,demo_clean,16,100099,on_top,4,20019,4
place_relative,demo_clean,17,100100,left,0,20020,0
place_relative,demo_clean,17,100101,right,1,20020,1
place_relative,demo_clean,17,100104,on_top,4,20020,4
place_relative,demo_clean,18,100105,left,0,20021,0
place_relative,demo_clean,18,100106,right,1,20021,1
place_relative,demo_clean,18,100109,on_top,4,20021,4
place_relative,demo_clean,19,100110,left,0,20022,0
place_relative,demo_clean,19,100111,right,1,20022,1
place_relative,demo_clean,19,100114,on_top,4,20022,4
