policy,task,block_index,seed,mode,status,success,action_calls,step_limit,termination,instruction,origin,record_path,record_sha256
xvla,arm_select,5,200010,left,success,1,95,400,task_success,Employ the left arm to lift the block.,reused,xvla/arm_select/arm_select_ep200010_result.json,6a717207e234dfa4b6baec03c7f14b5d080ecc1eb6df0f8c4b9f27d54953e23b
xvla,arm_select,5,200011,right,failure,0,400,400,action_limit,Employ the right arm to lift the block.,reused,xvla/arm_select/arm_select_ep200011_result.json,38b50ef86033a3deaee1b857ec9681ed0eabe06720d65c22171f3b657c9db9a2
xvla,arm_select,6,200012,left,success,1,101,400,task_success,Use the left arm to hold the block.,reused,xvla/arm_select/arm_select_ep200012_result.json,724cf3805cd7feee083e6e1d3e59f55fe04da6b7172af44b396abb99bda6b38c
xvla,arm_select,6,200013,right,failure,0,400,400,action_limit,Use the right arm to hold the block.,reused,xvla/arm_select/arm_select_ep200013_result.json,c9b36ca6cb62b40f49847741203288241edd1b0435027e91c432c07e89969cb8
xvla,arm_select,7,200016,left,success,1,100,400,task_success,Employ the left arm to lift the block.,reused,xvla/arm_select/arm_select_ep200016_result.json,3522b9cbdc97b9d112d4d88082d08fa93cd1434b2ee12f00716ab829343884d1
xvla,arm_select,7,200017,right,failure,0,400,400,action_limit,Employ the right arm to lift the block.,reused,xvla/arm_select/arm_select_ep200017_result.json,a1628c1b1599c253a5501feaf68e52ba1ebd721c22f7f23674e3992eb364b003
xvla,arm_select,8,200018,left,success,1,101,400,task_success,Collect the block using the left arm.,reused,xvla/arm_select/arm_select_ep200018_result.json,e6b380725ab2b5ad51a3604812af30aa8b269c25d945b7cf046bb0e4345e755e
xvla,arm_select,8,200019,right,success,1,181,400,task_success,Collect the block using the right arm.,reused,xvla/arm_select/arm_select_ep200019_result.json,28f98645b2448d3a2a675838197ae29d4e1073a4e77e68d691c5f7e342767016
xvla,arm_select,9,200020,left,success,1,99,400,task_success,Pick up the block carefully with the left arm.,reused,xvla/arm_select/arm_select_ep200020_result.json,6992808b3a4d43e06ec41459663fd87a596b9e4af64b2dc60d210f033c9f785e
xvla,arm_select,9,200021,right,failure,0,400,400,action_limit,Pick up the block carefully with the right arm.,reused,xvla/arm_select/arm_select_ep200021_result.json,844f77fa2f028b3cf0a482cd9cb56e8618d286f7b24ab23c73f186d48f58b26c
xvla,arm_select,10,200022,left,success,1,94,400,task_success,Scoop up the block with the left arm.,reused,xvla/arm_select/arm_select_ep200022_result.json,65df3d6fa59e8510dab5e51016a63dd15b4ba1cec0f1a72e883c5fc2af619193
xvla,arm_select,10,200023,right,success,1,181,400,task_success,Scoop up the block with the right arm.,reused,xvla/arm_select/arm_select_ep200023_result.json,a11da858b50c80d974ad05016e620674bf226e8a9edbfcc6d375375b28ac560c
xvla,arm_select,11,200026,left,success,1,103,400,task_success,Let the left arm grab the block.,reused,xvla/arm_select/arm_select_ep200026_result.json,53b4e762767d0669037feb9cae0dfd3c283d56b1695204eabad98c0b86002bc3
xvla,arm_select,11,200027,right,failure,0,400,400,action_limit,Let the right arm grab the block.,reused,xvla/arm_select/arm_select_ep200027_result.json,8e35aa98e305017036135e79e29358009a04cafddb6cf0772d161b49fd217506
xvla,arm_select,12,200028,left,success,1,64,400,task_success,Scoop up the block with the left arm.,reused,xvla/arm_select/arm_select_ep200028_result.json,ecfd14cd2827b670f9a3c0edac9952593c9b6c647d8e30aa4edb41e7a17cec83
xvla,arm_select,12,200029,right,failure,0,400,400,action_limit,Scoop up the block with the right arm.,reused,xvla/arm_select/arm_select_ep200029_result.json,8b39ca8ec497a71532bd08e87d41e67fc57f4f8c73fd5f3aa3edab5228823223
xvla,arm_select,13,200030,left,success,1,95,400,task_success,Pick up the block carefully with the left arm.,reused,xvla/arm_select/arm_select_ep200030_result.json,fb2cea6e92197a6acd33dd9f0a8efb8bf7d2711eeaa18df99360c235640c1fc2
xvla,arm_select,13,200031,right,failure,0,400,400,action_limit,Pick up the block carefully with the right arm.,reused,xvla/arm_select/arm_select_ep200031_result.json,d2da2f22144cef046ffd5e7c948cb578dc604ab820e9f076609ad42287eb86c8
xvla,arm_select,14,200032,left,success,1,111,400,task_success,Employ the left arm to lift the block.,reused,xvla/arm_select/arm_select_ep200032_result.json,3b13566e4260812ff366253b4ad375a7e08b279a5dc2ddb1a9f1456c68bd4dba
xvla,arm_select,14,200033,right,failure,0,400,400,action_limit,Employ the right arm to lift the block.,reused,xvla/arm_select/arm_select_ep200033_result.json,e86d286f42c46a65fbc5ce331552557bfc2a10b9015c07a29dd73774ce227d20
xvla,arm_select,15,200034,left,success,1,96,400,task_success,Employ the left arm to lift the block.,reused,xvla/arm_select/arm_select_ep200034_result.json,c90ff0908582dca04e86b87b312e888f1f6912d1525978f5b6c41ffe48b11676
xvla,arm_select,15,200035,right,failure,0,400,400,action_limit,Employ the right arm to lift the block.,reused,xvla/arm_select/arm_select_ep200035_result.json,6e03ea2526c1203b3af50ef437493638b8c49b784690763962f48a8eb1269398
xvla,arm_select,16,200036,left,success,1,96,400,task_success,Pick up the block carefully with the left arm.,reused,xvla/arm_select/arm_select_ep200036_result.json,5734de10907cc0e5998c4eef8f5c1d57b923b5cf20acb32cb9d99bd7ddc2306a
xvla,arm_select,16,200037,right,failure,0,400,400,action_limit,Pick up the block carefully with the right arm.,reused,xvla/arm_select/arm_select_ep200037_result.json,cb47d25c53f27696fb63b199ea86f3ba9ad3ccfc3089309a17f3fe2ee21cba91
xvla,arm_select,17,200038,left,success,1,97,400,task_success,Retrieve the block with the left arm.,reused,xvla/arm_select/arm_select_ep200038_result.json,02fce2c0a3c2552fdf7f4e54c7e16db9e70e1b0f05244b8b3b5da45606ef0b9f
xvla,arm_select,17,200039,right,success,1,151,400,task_success,Retrieve the block with the right arm.,reused,xvla/arm_select/arm_select_ep200039_result.json,6286b7dbe9e1b05f42913b07b1bf0a084393e515e3fdff406a7c6880f6c2c5cc
xvla,arm_select,18,200040,left,success,1,92,400,task_success,Scoop up the block with the left arm.,reused,xvla/arm_select/arm_select_ep200040_result.json,35bc021c23d0992dfb4bd3304e139ccf1dc407fd51408921d7c657ef4eb20e83
xvla,arm_select,18,200041,right,success,1,172,400,task_success,Scoop up the block with the right arm.,reused,xvla/arm_select/arm_select_ep200041_result.json,5d871b326783fc4a84f2a944246150c875daf5671ba28ba0fffc57d618f76eb8
xvla,arm_select,19,200042,left,success,1,117,400,task_success,Use the left arm to hold the block.,reused,xvla/arm_select/arm_select_ep200042_result.json,1b57264d539284a7eaa5841ee0293e9fdaac0e83ccb67fc692076e6fb5824643
xvla,arm_select,19,200043,right,failure,0,400,400,action_limit,Use the right arm to hold the block.,reused,xvla/arm_select/arm_select_ep200043_result.json,bcd94f47eb19dc4e7de31540196ff09a424543ac76c3c88e8fcfafad66116adf
lingbot_va,arm_select,0,200000,left,success,1,79,400,task_success,Have the left arm take the block.,reused,lingbot_va/arm_select/arm_select_ep200000_result.json,910bf7039aba41596dd9f9de2acfba282a12db49c34b3d69d17eed1a1b56624b
lingbot_va,arm_select,0,200001,right,success,1,80,400,task_success,Have the right arm take the block.,reused,lingbot_va/arm_select/arm_select_ep200001_result.json,b65640fdf20efdc733f959f7533d78b330361d38580366dc0c896413f31a932b
lingbot_va,arm_select,1,200002,left,success,1,78,400,task_success,Use the left arm to retrieve the block.,reused,lingbot_va/arm_select/arm_select_ep200002_result.json,e9c3f09386ff87cac64d08bfbcde38b1eb252e5a425349b68e01ee44b5b3ad2d
lingbot_va,arm_select,1,200003,right,failure,0,400,400,action_limit,Use the right arm to retrieve the block.,reused,lingbot_va/arm_select/arm_select_ep200003_result.json,c3c9c32022f3155fb08b707315b4231b189969cbf655af2d41988aa4d4f25705
lingbot_va,arm_select,2,200004,left,success,1,79,400,task_success,Let the left arm grab the block.,reused,lingbot_va/arm_select/arm_select_ep200004_result.json,61ade461cc259da886fd3d7609d8ee88b1b351f8690659e73e34dca671a08c31
lingbot_va,arm_select,2,200005,right,success,1,82,400,task_success,Let the right arm grab the block.,reused,lingbot_va/arm_select/arm_select_ep200005_result.json,1b436fd655b40bb0ab14025c96a06b1c81f62d81e5317f2a873a71d95be84d8c
lingbot_va,arm_select,3,200006,left,success,1,79,400,task_success,Have the left arm take the block.,reused,lingbot_va/arm_select/arm_select_ep200006_result.json,77464d71285ca9abab0f773ae35b3496c47b6512b6e04ab804ac769c193c52cf
lingbot_va,arm_select,3,200007,right,success,1,290,400,task_success,Have the right arm take the block.,reused,lingbot_va/arm_select/arm_select_ep200007_result.json,3728fd9f0bf745b634ded62fb48a6c4d271f2e06e0414b762698b97eb19132e7
lingbot_va,arm_select,4,200008,left,success,1,79,400,task_success,"With the left arm, grab the block.",reused,lingbot_va/arm_select/arm_select_ep200008_result.json,c01e4502c4d7a64a13e8ec08c4dff6060911799b0ef25a1594a3140ee396e63f
lingbot_va,arm_select,4,200009,right,success,1,81,400,task_success,"With the right arm, grab the block.",reused,lingbot_va/arm_select/arm_select_ep200009_result.json,6fdba0eca3798f73e9751f4237cc45583328ceef039e59ba1dbcacb338d1797f
lingbot_va,arm_select,5,200010,left,success,1,79,400,task_success,Employ the left arm to lift the block.,reused,lingbot_va/arm_select/arm_select_ep200010_result.json,8946e61c236f7eed90c9ebe6af82ed8e839b5a1c8acb5a1bc5b1a3382be07cc2
lingbot_va,arm_select,5,200011,right,success,1,87,400,task_success,Employ the right arm to lift the block.,reused,lingbot_va/arm_select/arm_select_ep200011_result.json,1c6c3a7c3ce0ad0de42d2e32eac84f3c5057e95170d117b3667a96f1088e1d54
lingbot_va,arm_select,6,200012,left,success,1,79,400,task_success,Use the left arm to hold the block.,reused,lingbot_va/arm_select/arm_select_ep200012_result.json,9e852285e4bc53942aefe08df0ed7030e6ae38c45603ea46a164716bfa78db8b
lingbot_va,arm_select,6,200013,right,success,1,82,400,task_success,Use the right arm to hold the block.,reused,lingbot_va/arm_select/arm_select_ep200013_result.json,5bb137b94de64ed9405cb1b55c32793c8cc7b762f5342807f21bf67da59b8ac4
lingbot_va,arm_select,7,200016,left,success,1,80,400,task_success,Employ the left arm to lift the block.,reused,lingbot_va/arm_select/arm_select_ep200016_result.json,779eecba83b511aa366c1777f82c11413f59fe774958be145d9f15056d7628d7
lingbot_va,arm_select,7,200017,right,success,1,80,400,task_success,Employ the right arm to lift the block.,reused,lingbot_va/arm_select/arm_select_ep200017_result.json,ea13ee6012d519806311ac008fd9d8442584f34ef5d831017fb47fbae1169ea3
lingbot_va,arm_select,8,200018,left,success,1,81,400,task_success,Collect the block using the left arm.,reused,lingbot_va/arm_select/arm_select_ep200018_result.json,f0eece0a26b912ecd03246ce552d8446b70b4c80240a7cf72c545153cf06ebdf
lingbot_va,arm_select,8,200019,right,success,1,84,400,task_success,Collect the block using the right arm.,reused,lingbot_va/arm_select/arm_select_ep200019_result.json,41f9c7ddbc6568bf95273cae476f3992c9e19058f9193556ceb57c5c8c28a924
lingbot_va,arm_select,9,200020,left,success,1,79,400,task_success,Pick up the block carefully with the left arm.,reused,lingbot_va/arm_select/arm_select_ep200020_result.json,213a23938025b5cee646c2cb249acebd5b67024bf438077c9e5aed36bd0de557
lingbot_va,arm_select,9,200021,right,success,1,193,400,task_success,Pick up the block carefully with the right arm.,reused,lingbot_va/arm_select/arm_select_ep200021_result.json,c054838629aed5cae4d70c662eb0eb63eee3912382670d3262a40eedd3f1c8a5
lingbot_va,arm_select,10,200022,left,success,1,79,400,task_success,Scoop up the block with the left arm.,reused,lingbot_va/arm_select/arm_select_ep200022_result.json,22310ae13b0ed63a406779c57f286d2fb75a2ae0f103f35b4ad33ea6157db9c2
lingbot_va,arm_select,10,200023,right,success,1,209,400,task_success,Scoop up the block with the right arm.,reused,lingbot_va/arm_select/arm_select_ep200023_result.json,5ef5f7e89516921a4e27954a7662d769e2584e3b24a3564132552a04098908db
lingbot_va,arm_select,11,200026,left,success,1,78,400,task_success,Let the left arm grab the block.,reused,lingbot_va/arm_select/arm_select_ep200026_result.json,ae3229e6f98b3d4b67535efc15a19669e4966455068eb6224182f70434868461
lingbot_va,arm_select,11,200027,right,success,1,82,400,task_success,Let the right arm grab the block.,reused,lingbot_va/arm_select/arm_select_ep200027_result.json,9831fbfd5afc302476cdb659d28cd47b93734404ca62ace32b7f616474526d34
lingbot_va,arm_select,12,200028,left,success,1,79,400,task_success,Scoop up the block with the left arm.,reused,lingbot_va/arm_select/arm_select_ep200028_result.json,13135e9c30a4da85e8c0edaeba170fd342068f0ea21ceef898d2a21f426dd414
lingbot_va,arm_select,12,200029,right,success,1,206,400,task_success,Scoop up the block with the right arm.,reused,lingbot_va/arm_select/arm_select_ep200029_result.json,4dad25719d258bcdcf6daa5f6452ee43812c28d719d8e3b464eb16263a0b31d7
lingbot_va,arm_select,13,200030,left,success,1,80,400,task_success,Pick up the block carefully with the left arm.,reused,lingbot_va/arm_select/arm_select_ep200030_result.json,83cf803251dd522d623c9d84099224c45c56ab84dd68a5b63c37ca5b5d99d915
lingbot_va,arm_select,13,200031,right,success,1,205,400,task_success,Pick up the block carefully with the right arm.,reused,lingbot_va/arm_select/arm_select_ep200031_result.json,57a36adba5d359a2d7d06ad2398b5aa663b88a423df9c1a147739510b3be15ad
lingbot_va,arm_select,14,200032,left,success,1,79,400,task_success,Employ the left arm to lift the block.,reused,lingbot_va/arm_select/arm_select_ep200032_result.json,eb55665b9ab6ec7a0b5de8759ebe2b0b5a6967d34ed6f3dfa8ede36c9118d7c7
lingbot_va,arm_select,14,200033,right,failure,0,400,400,action_limit,Employ the right arm to lift the block.,reused,lingbot_va/arm_select/arm_select_ep200033_result.json,8be9a5225b0fc9e66eefc895d0b92b78713b2e309236e095e45b9245b400d968
lingbot_va,arm_select,15,200034,left,success,1,79,400,task_success,Employ the left arm to lift the block.,reused,lingbot_va/arm_select/arm_select_ep200034_result.json,e985816caa8590e01b5bc1e36b7132eabd88351e91719b51d167b338ab1c38e0
lingbot_va,arm_select,15,200035,right,success,1,81,400,task_success,Employ the right arm to lift the block.,reused,lingbot_va/arm_select/arm_select_ep200035_result.json,484503b903c323349be6cef1e6ca0776dd2393d329b5ca545d012c35ca901e41
lingbot_va,arm_select,16,200036,left,success,1,80,400,task_success,Pick up the block carefully with the left arm.,reused,lingbot_va/arm_select/arm_select_ep200036_result.json,2497402c01aabbeddee04c445e10f98cd3a67f6132700b4dd5061aef1905ae4b
lingbot_va,arm_select,16,200037,right,success,1,159,400,task_success,Pick up the block carefully with the right arm.,reused,lingbot_va/arm_select/arm_select_ep200037_result.json,f0f4e6b4acd06c290f0046c668e663a155f2479ad3424729f598db5420a80744
lingbot_va,arm_select,17,200038,left,success,1,79,400,task_success,Retrieve the block with the left arm.,reused,lingbot_va/arm_select/arm_select_ep200038_result.json,093b5443016d3fe5361798b6c0774b7f873818424ca2945d84c942da66181f1b
lingbot_va,arm_select,17,200039,right,failure,0,400,400,action_limit,Retrieve the block with the right arm.,reused,lingbot_va/arm_select/arm_select_ep200039_result.json,9695347c433c213439d5b50910f9934d80824a6b99be45564894af3535bee2e1
lingbot_va,arm_select,18,200040,left,success,1,82,400,task_success,Scoop up the block with the left arm.,reused,lingbot_va/arm_select/arm_select_ep200040_result.json,8ffe3b2d1fa2f84e35da85954c383cd2afb954601908c13809979c1ebd8387d4
lingbot_va,arm_select,18,200041,right,success,1,192,400,task_success,Scoop up the block with the right arm.,reused,lingbot_va/arm_select/arm_select_ep200041_result.json,f7e440c2219a9e05168ff82d05f4b6082425244ccc5d87bccc022cabf2e166bf
lingbot_va,arm_select,19,200042,left,success,1,79,400,task_success,Use the left arm to hold the block.,reused,lingbot_va/arm_select/arm_select_ep200042_result.json,66360e668ac491a21f7a3104cc446b7d2f3fd986b728d0cd60377700a5b8d63e
lingbot_va,arm_select,19,200043,right,success,1,83,400,task_success,Use the right arm to hold the block.,reused,lingbot_va/arm_select/arm_select_ep200043_result.json,08170efe848523d758d19540f9c50b5f8d669ff747399596da3647445e169f08
lingbot_vla,arm_select,0,200000,left,failure,0,400,400,action_limit,Have the left arm take the block.,reused,lingbot_vla/arm_select/arm_select_ep200000_result.json,6654aa2a66f6fe6f6e92951539df9f53a36bb581abcc3ec369c26de9e8cfa0d5
lingbot_vla,arm_select,0,200001,right,failure,0,400,400,action_limit,Have the right arm take the block.,reused,lingbot_vla/arm_select/arm_select_ep200001_result.json,908ae36b07d097b1b0fa4e5ea68865ef5ca8292b44106f9381e9690f9b8d81d3
lingbot_vla,arm_select,1,200002,left,failure,0,400,400,action_limit,Use the left arm to retrieve the block.,reused,lingbot_vla/arm_select/arm_select_ep200002_result.json,c881d54a5d7df7ae7270b6641e5adccad2dd44b32f7a81b7e7f941483db7c103
lingbot_vla,arm_select,1,200003,right,failure,0,400,400,action_limit,Use the right arm to retrieve the block.,reused,lingbot_vla/arm_select/arm_select_ep200003_result.json,fba7be0a2a28914be59112c274dd5c946b6031ed2940acbb6e8d8ed0ffed6610
lingbot_vla,arm_select,2,200004,left,success,1,81,400,task_success,Let the left arm grab the block.,reused,lingbot_vla/arm_select/arm_select_ep200004_result.json,936a8e3c71311e26d224c71fe0bb3a0eb5920336e4ac95e97089e8ec70f4a65c
lingbot_vla,arm_select,2,200005,right,failure,0,400,400,action_limit,Let the right arm grab the block.,reused,lingbot_vla/arm_select/arm_select_ep200005_result.json,fc4917e5157863f9c5794f65f73b06272b1f94742dd108b200941ee8537150d1
lingbot_vla,arm_select,3,200006,left,failure,0,400,400,action_limit,Have the left arm take the block.,reused,lingbot_vla/arm_select/arm_select_ep200006_result.json,2b6330cd626daa848c7948e91e00cfa2347377b7a1a4382662f73488fae3eebc
lingbot_vla,arm_select,3,200007,right,failure,0,400,400,action_limit,Have the right arm take the block.,reused,lingbot_vla/arm_select/arm_select_ep200007_result.json,8f65a6d6a47122c8b33f2376156c42c3dd39542f0d2af1da8553387aac90f2be
lingbot_vla,arm_select,4,200008,left,failure,0,400,400,action_limit,"With the left arm, grab the block.",reused,lingbot_vla/arm_select/arm_select_ep200008_result.json,a08b187f393e5a17b727cbb83c35f12904141f21e19262e161219e36c9c7e0ca
lingbot_vla,arm_select,4,200009,right,failure,0,400,400,action_limit,"With the right arm, grab the block.",reused,lingbot_vla/arm_select/arm_select_ep200009_result.json,67f86011ce4d3e1c3936d20d03cfffc454357df204da85177b2cc6ee68580193
lingbot_vla,arm_select,5,200010,left,success,1,80,400,task_success,Employ the left arm to lift the block.,reused,lingbot_vla/arm_select/arm_select_ep200010_result.json,4b04431e97265f2dab6fc0f3f94f2bc4f16a993afeb19598bb197d500eb0e4e0
lingbot_vla,arm_select,5,200011,right,success,1,208,400,task_success,Employ the right arm to lift the block.,reused,lingbot_vla/arm_select/arm_select_ep200011_result.json,9e02ff402edfe62079b0d01d91f046b6a1962cd48fd1482add983b76440e4c2a
lingbot_vla,arm_select,6,200012,left,failure,0,400,400,action_limit,Use the left arm to hold the block.,reused,lingbot_vla/arm_select/arm_select_ep200012_result.json,e59021a0974aab00b09666fc83e3bb1fac95457f55cef86b6dcd4cfa119a63a5
lingbot_vla,arm_select,6,200013,right,failure,0,400,400,action_limit,Use the right arm to hold the block.,reused,lingbot_vla/arm_select/arm_select_ep200013_result.json,2a0c5099af621eea26c61e605e5c039b01fefdf5e198594d83de637e7d1e4b89
lingbot_vla,arm_select,7,200016,left,success,1,80,400,task_success,Employ the left arm to lift the block.,reused,lingbot_vla/arm_select/arm_select_ep200016_result.json,f379f3aa6228ee709a51c9b91b1c47b9a0b763b8479d1bf7128f81afd424bd9a
lingbot_vla,arm_select,7,200017,right,success,1,168,400,task_success,Employ the right arm to lift the block.,reused,lingbot_vla/arm_select/arm_select_ep200017_result.json,496b2878a6cacec3dff7a44b980760b795110c5b0d4cbfcd4bc571bf4f8cd6ec
lingbot_vla,arm_select,8,200018,left,failure,0,400,400,action_limit,Collect the block using the left arm.,reused,lingbot_vla/arm_select/arm_select_ep200018_result.json,42dff997729327d612a10b8873246186644ddde948defd23ce5eb3feab01f529
lingbot_vla,arm_select,8,200019,right,failure,0,400,400,action_limit,Collect the block using the right arm.,reused,lingbot_vla/arm_select/arm_select_ep200019_result.json,36f2b14ccbbd7e936423397e329292e1dd6e19f0f33cf8fd81a1455e46b86ade
lingbot_vla,arm_select,9,200020,left,failure,0,400,400,action_limit,Pick up the block carefully with the left arm.,reused,lingbot_vla/arm_select/arm_select_ep200020_result.json,c0a58d038c8945b65dbcaefb5ae59cf9a8ff88ec91873b0faf02d6e5e7bf409f
lingbot_vla,arm_select,9,200021,right,failure,0,400,400,action_limit,Pick up the block carefully with the right arm.,reused,lingbot_vla/arm_select/arm_select_ep200021_result.json,5b7cff5b7a2e6f7223da6ef794838a3b500a40ca415d529476a9eaf39015c13e
lingbot_vla,arm_select,10,200022,left,success,1,80,400,task_success,Scoop up the block with the left arm.,reused,lingbot_vla/arm_select/arm_select_ep200022_result.json,4a88d20ea2147e3b3a00f31ab51c197b541a14899796d429d88acb745bd10e07
lingbot_vla,arm_select,10,200023,right,success,1,198,400,task_success,Scoop up the block with the right arm.,reused,lingbot_vla/arm_select/arm_select_ep200023_result.json,ba540d4cb786a70441704d9605dc4c3574a23e0fb04e5183df7f5c59ff3eeea9
lingbot_vla,arm_select,11,200026,left,failure,0,400,400,action_limit,Let the left arm grab the block.,reused,lingbot_vla/arm_select/arm_select_ep200026_result.json,f69df13389295f8c657dd97f04799ae3c8efb3f748ecbe03fbd5822b7a03fe7a
lingbot_vla,arm_select,11,200027,right,failure,0,400,400,action_limit,Let the right arm grab the block.,reused,lingbot_vla/arm_select/arm_select_ep200027_result.json,e2cf23a1033a682fd586bc1aa7d20194e616ac85ca19e1c9a6793939561bbd7a
lingbot_vla,arm_select,12,200028,left,success,1,80,400,task_success,Scoop up the block with the left arm.,reused,lingbot_vla/arm_select/arm_select_ep200028_result.json,f0a03a839c7ef2e94696f20f7d63e5cb4d83cb44c201aed3205125c26dcd9ca0
lingbot_vla,arm_select,12,200029,right,success,1,165,400,task_success,Scoop up the block with the right arm.,reused,lingbot_vla/arm_select/arm_select_ep200029_result.json,79af9886c9ca60b08bb29600ea25eb63ff18092b6120f0a89884c47232b5f85f
lingbot_vla,arm_select,13,200030,left,success,1,87,400,task_success,Pick up the block carefully with the left arm.,reused,lingbot_vla/arm_select/arm_select_ep200030_result.json,7ab43c3b68cbb78c6ca4e8533b35169117424b1dd93023680b10c27e9876cf5b
lingbot_vla,arm_select,13,200031,right,failure,0,400,400,action_limit,Pick up the block carefully with the right arm.,reused,lingbot_vla/arm_select/arm_select_ep200031_result.json,33790c928e30e3787aaebf2392ee7a73ef864088f3864b8b773719919b4e1717
lingbot_vla,arm_select,14,200032,left,failure,0,400,400,action_limit,Employ the left arm to lift the block.,reused,lingbot_vla/arm_select/arm_select_ep200032_result.json,f39c16477bb53f63363fa6fd24e162069966f2f09459e8ed83ae0403d1e34e59
lingbot_vla,arm_select,14,200033,right,failure,0,400,400,action_limit,Employ the right arm to lift the block.,reused,lingbot_vla/arm_select/arm_select_ep200033_result.json,0cbe1ffc54e2fedaeca0cb1d0692812f5f5c568c1289db36ff6f3acaf41455b5
lingbot_vla,arm_select,15,200034,left,success,1,80,400,task_success,Employ the left arm to lift the block.,reused,lingbot_vla/arm_select/arm_select_ep200034_result.json,ff280512116154d2c95d84d29f4069517265a4f2b130c621c32fc06afd384a3b
lingbot_vla,arm_select,15,200035,right,success,1,162,400,task_success,Employ the right arm to lift the block.,reused,lingbot_vla/arm_select/arm_select_ep200035_result.json,759d1677ac5634d327cb17defe30173d770a1f0e525730addb0ea59685bdc303
lingbot_vla,arm_select,16,200036,left,success,1,90,400,task_success,Pick up the block carefully with the left arm.,reused,lingbot_vla/arm_select/arm_select_ep200036_result.json,52ee5fb8d7503aa0b3abb454909047ecae8150a5f11b7a2b4ea1bd3d31420022
lingbot_vla,arm_select,16,200037,right,failure,0,400,400,action_limit,Pick up the block carefully with the right arm.,reused,lingbot_vla/arm_select/arm_select_ep200037_result.json,2abf4a8731e9e40a86caf0773a186b183527dabb5405a69adef1b373bcc358a0
lingbot_vla,arm_select,17,200038,left,failure,0,400,400,action_limit,Retrieve the block with the left arm.,reused,lingbot_vla/arm_select/arm_select_ep200038_result.json,3cb1fe91fed9ebb2707c8c89634e2b725338ef4438620e1f121677ac6f205fff
lingbot_vla,arm_select,17,200039,right,failure,0,400,400,action_limit,Retrieve the block with the right arm.,reused,lingbot_vla/arm_select/arm_select_ep200039_result.json,05071f6942f59573e6ae958d98c8408fe0132433513a897fcc042f2eb412e95e
lingbot_vla,arm_select,18,200040,left,success,1,80,400,task_success,Scoop up the block with the left arm.,reused,lingbot_vla/arm_select/arm_select_ep200040_result.json,778a77a189e01d3f85398af9391ac771ad4b304e123de2ef0cddcb91a5c9e61e
lingbot_vla,arm_select,18,200041,right,success,1,167,400,task_success,Scoop up the block with the right arm.,reused,lingbot_vla/arm_select/arm_select_ep200041_result.json,4ee266bb92c08986e442df045a8718adb4abf52113e70929d917d441120f91d2
lingbot_vla,arm_select,19,200042,left,failure,0,400,400,action_limit,Use the left arm to hold the block.,reused,lingbot_vla/arm_select/arm_select_ep200042_result.json,6de7f20e23cc96fcfe5d8df7b4b959e648d148173d32a64392fd28ac01b9d038
lingbot_vla,arm_select,19,200043,right,failure,0,400,400,action_limit,Use the right arm to hold the block.,reused,lingbot_vla/arm_select/arm_select_ep200043_result.json,27b5ed205878f9dded69ae4757492a706bde4532f32c981220165c5542189bbe
